defense,attack,ver_acc,robust_tar,asr_dodging,asr_impersonation,sigma,tar_at_far
visagekeeper_smoothed,clean,0.9185,0.7506666666666667,,,0.5,"{""0.01"": {""tar"": 0.774, ""threshold"": 0.365639328956604}, ""0.001"": {""tar"": 0.5023333333333333, ""threshold"": 0.49931076169013977}}"
visagekeeper_smoothed,pgd_eot,0.9185,0.2575,1.0,0.485,0.5,"{""0.01"": {""tar"": 0.774, ""threshold"": 0.365639328956604}, ""0.001"": {""tar"": 0.5023333333333333, ""threshold"": 0.49931076169013977}}"
